index,feature,importance_1,importance_2,importance_3,importance_4,importance_5,importance_6,importance_7,importance_8,importance_9,importance_10,importance_11,importance_12,avg,precision_1,recall_1,accuracy_1,f1_score_1,precision_2,recall_2,accuracy_2,f1_score_2,precision_3,recall_3,accuracy_3,f1_score_3,avg_precision,avg_recall,avg_accuracy,avg_f1_score
21,sp500_Close_RDP1,0.168543525,0.169717261,0.168196226,0.169717261,0.167707195,0.167722718,0.05813848,0.061937285,0.060099475,0.061937285,0.061840746,0.063856716,0.114951181,0.57,0.686747,0.5868263,0.622950826,0.5647482,0.6305221,0.5748503,0.595825434,0.59294873,0.7429719,0.6187625,0.659536585,0.575898977,0.686747,0.5934797,0.626104282
22,sp500_Adj Close_RDP1,0.1619849,0.156464225,0.158584307,0.156464225,0.153566257,0.153962757,0.05042632,0.055650503,0.054394608,0.055650503,0.056015481,0.055308547,0.105706053,,,,,,,,,,,,,,,,
20,sp500_Low_RDP1,0.068742472,0.076475962,0.073995245,0.076475962,0.081391007,0.081532975,0.041164045,0.040955864,0.04212729,0.040955864,0.043520264,0.045471185,0.059400678,0.57761735,0.64257026,0.58882236,0.608364989,0.57439446,0.6666667,0.58882236,0.617100351,0.5791045,0.77911645,0.6087824,0.66438356,0.57703877,0.696117803,0.595475707,0.629949633
19,sp500_High_RDP1,0.060058657,0.060926835,0.0605212,0.060926835,0.060795425,0.060492607,0.036338271,0.036255195,0.03595813,0.036255195,0.036819365,0.037029663,0.048531448,0.57894737,0.7068273,0.5988024,0.636527987,0.5695793,0.7068273,0.58882236,0.630824401,0.620438,0.6827309,0.6347305,0.65009561,0.58965489,0.698795167,0.607451753,0.639149333
29,sp500_Volume_RDP7,0.031878081,0.027824825,0.029763507,0.027824825,0.025823178,0.02590794,0.033125472,0.032113979,0.034211983,0.032113979,0.035491066,0.033486765,0.030797133,0.5919118,0.64658636,0.6027944,0.618042218,0.5703704,0.6184739,0.57884234,0.593448969,0.5611511,0.62650603,0.5708583,0.592030368,0.574477767,0.630522097,0.584165013,0.601173852
17,hsi_Volume_RDP30,0.027028253,0.025982213,0.025912418,0.025982213,0.029094121,0.027788422,0.033483386,0.033999991,0.03145769,0.033999991,0.031331924,0.029588591,0.029637434,,,,,,,,,,,,,,,,
18,sp500_Open_RDP1,0.019820881,0.021983441,0.021991909,0.021983441,0.020712759,0.02134398,0.030110281,0.029973719,0.029506429,0.029973719,0.029291487,0.029652192,0.025528687,,,,,,,,,,,,,,,,
2,hsi_Low_RDP1,0.020344244,0.021008813,0.021508554,0.021008813,0.02081698,0.021857771,0.028703575,0.029912922,0.026938808,0.029912922,0.030166738,0.02926611,0.025120521,0.5638298,0.6385542,0.5748503,0.598870052,0.5890909,0.6506024,0.6007984,0.618320593,0.5544218,0.6546185,0.5668663,0.600368344,0.569114167,0.647925033,0.580838333,0.605852996
25,sp500_High_RDP7,0.022378042,0.023262406,0.021614643,0.023262406,0.024286693,0.025836692,0.025843456,0.027119354,0.025359996,0.027119354,0.025684476,0.025026439,0.02473283,,,,,,,,,,,,,,,,
23,sp500_Volume_RDP1,0.019767373,0.019547308,0.02154209,0.019547308,0.019107989,0.019240749,0.029451215,0.029447615,0.029339267,0.029447615,0.028534444,0.028912501,0.024490456,,,,,,,,,,,,,,,,
1,hsi_High_RDP1,0.019170802,0.021482883,0.019796832,0.021482883,0.017952515,0.017466865,0.029719537,0.028503707,0.029616945,0.028503707,0.028890572,0.029388266,0.024331293,,,,,,,,,,,,,,,,
4,hsi_Adj Close_RDP1,0.021638147,0.019484742,0.021294706,0.019484742,0.019481258,0.019144465,0.027149348,0.028188421,0.026510461,0.028188421,0.025698454,0.02776206,0.023668769,,,,,,,,,,,,,,,,
3,hsi_Close_RDP1,0.020503521,0.019176856,0.01923552,0.019176856,0.021499759,0.020767919,0.026844315,0.027419944,0.026252239,0.027419944,0.024950882,0.02706881,0.023359714,,,,,,,,,,,,,,,,
30,sp500_Open_RDP30,0.022175584,0.020874349,0.022131871,0.020874349,0.021930614,0.021595038,0.023706445,0.026333258,0.02433836,0.026333258,0.024825104,0.025110713,0.023352412,,,,,,,,,,,,,,,,
11,hsi_Volume_RDP7,0.01774498,0.017451922,0.018663914,0.017451922,0.017171376,0.017536599,0.028448792,0.027597374,0.028093734,0.027597374,0.028394725,0.026422962,0.02271464,,,,,,,,,,,,,,,,
35,sp500_Volume_RDP30,0.011822498,0.013502785,0.011595517,0.013502785,0.013841689,0.013957917,0.030192594,0.032901935,0.032509714,0.032901935,0.030154724,0.031615125,0.022374935,,,,,,,,,,,,,,,,
27,sp500_Close_RDP7,0.018035015,0.018665526,0.017841484,0.018665526,0.017431313,0.018320694,0.023703786,0.023863966,0.023196925,0.023863966,0.021985769,0.023021613,0.020716298,,,,,,,,,,,,,,,,
0,hsi_Open_RDP1,0.012799355,0.012701346,0.011889741,0.012701346,0.012746112,0.01247894,0.029010729,0.027803338,0.029541448,0.027803338,0.029316788,0.029278279,0.020672563,,,,,,,,,,,,,,,,
28,sp500_Adj Close_RDP7,0.01652591,0.01759529,0.017017755,0.01759529,0.017739067,0.018495111,0.022619927,0.022391461,0.02307652,0.022391461,0.022175259,0.023414441,0.020086458,,,,,,,,,,,,,,,,
14,hsi_Low_RDP30,0.018614431,0.016587284,0.017201879,0.016587284,0.017135228,0.01775064,0.022474972,0.02302119,0.022768656,0.02302119,0.023208615,0.022456021,0.020068949,0.55123675,0.62650603,0.5608782,0.586466198,0.5152672,0.5421687,0.5189621,0.528375744,0.5531915,0.62650603,0.56287426,0.587570621,0.539898483,0.598393587,0.54757152,0.567470854
24,sp500_Open_RDP7,0.014603839,0.015238633,0.014570364,0.015238633,0.014800057,0.014693118,0.025644239,0.023292595,0.023663709,0.023292595,0.023978293,0.026103933,0.019593334,,,,,,,,,,,,,,,,
12,hsi_Open_RDP30,0.016444101,0.014029737,0.016202333,0.014029737,0.013333872,0.014124058,0.024993303,0.023358146,0.024289123,0.023358146,0.025667876,0.024523475,0.019529492,,,,,,,,,,,,,,,,
10,hsi_Adj Close_RDP7,0.015932179,0.016152987,0.016167477,0.016152987,0.015058792,0.015257339,0.023745907,0.024030518,0.021791458,0.024030518,0.022215528,0.02234818,0.019406989,,,,,,,,,,,,,,,,
6,hsi_Open_RDP7,0.012841931,0.01441758,0.013957342,0.01441758,0.014771004,0.015739871,0.025195969,0.023182497,0.024888642,0.023182497,0.023796699,0.024581383,0.019247749,,,,,,,,,,,,,,,,
7,hsi_High_RDP7,0.013555088,0.014842792,0.01431584,0.014842792,0.015279894,0.014753686,0.022044077,0.023462161,0.022762637,0.023462161,0.022599862,0.023366452,0.018773954,,,,,,,,,,,,,,,,
16,hsi_Adj Close_RDP30,0.016075938,0.01620871,0.016200417,0.01620871,0.016211553,0.014684364,0.021684217,0.021340938,0.020910066,0.021340938,0.019786574,0.022673196,0.018610468,,,,,,,,,,,,,,,,
34,sp500_Adj Close_RDP30,0.01585636,0.014735218,0.015003439,0.014735218,0.017582962,0.015973672,0.021432129,0.021592099,0.021761455,0.021592099,0.020220794,0.020461644,0.018412258,,,,,,,,,,,,,,,,
9,hsi_Close_RDP7,0.014746564,0.014824317,0.014387503,0.014824317,0.014291901,0.014149748,0.022513828,0.021595711,0.022874225,0.021595711,0.023541716,0.021175937,0.01837679,,,,,,,,,,,,,,,,
31,sp500_High_RDP30,0.012877364,0.013893539,0.013877747,0.013893539,0.015373632,0.015199413,0.023844733,0.022804964,0.0231597,0.022804964,0.022093283,0.020365186,0.018349005,,,,,,,,,,,,,,,,
26,sp500_Low_RDP7,0.015015952,0.014662779,0.014373934,0.014662779,0.013418727,0.013101252,0.022799193,0.021413544,0.022987229,0.021413544,0.022139955,0.021284867,0.018106146,,,,,,,,,,,,,,,,
5,hsi_Volume_RDP1,0.011064564,0.010334637,0.010264959,0.010334637,0.009768184,0.008980078,0.02658599,0.02415644,0.026505906,0.02415644,0.02782342,0.025170326,0.017928798,,,,,,,,,,,,,,,,
13,hsi_High_RDP30,0.013482022,0.012371404,0.012453232,0.012371404,0.010147796,0.010820395,0.020541691,0.021488264,0.02290154,0.021488264,0.023498094,0.022934676,0.017041565,,,,,,,,,,,,,,,,
32,sp500_Low_RDP30,0.011891793,0.012117693,0.012272979,0.012117693,0.013470507,0.013426209,0.021941798,0.019316046,0.020745829,0.019316046,0.022868083,0.02066612,0.016679233,,,,,,,,,,,,,,,,
8,hsi_Low_RDP7,0.010726921,0.011356867,0.011626131,0.011356867,0.011803874,0.011344571,0.022497208,0.022211519,0.021608879,0.022211519,0.02224513,0.021096744,0.016673853,,,,,,,,,,,,,,,,
33,sp500_Close_RDP30,0.013027371,0.012106026,0.012198727,0.012106026,0.012664439,0.013425678,0.022237543,0.020638251,0.0216219,0.020638251,0.019588694,0.019717202,0.016664176,,,,,,,,,,,,,,,,
15,hsi_Close_RDP30,0.012281343,0.011990811,0.011828258,0.011990811,0.011792273,0.011125748,0.021643225,0.020725288,0.022229025,0.020725288,0.019639115,0.020393681,0.016363739,0.52255636,0.5582329,0.5269461,0.539805768,0.5682657,0.6184739,0.5768463,0.592307685,0.5513308,0.58232933,0.55688626,0.56640629,0.547384287,0.586345377,0.553559553,0.566173248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_index,avg_precision,avg_recall,avg_accuracy,avg_f1_score,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.575898977,0.686747,0.5934797,0.626104282,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.57703877,0.696117803,0.595475707,0.629949633,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.58965489,0.698795167,0.607451753,0.639149333,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.574477767,0.630522097,0.584165013,0.601173852,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.569114167,0.647925033,0.580838333,0.605852996,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.539898483,0.598393587,0.54757152,0.567470854,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.547384287,0.586345377,0.553559553,0.566173248,,,,,,,,,,,,,,,,,,,,,,,,,,
